,year,week,variable,value,year_week
125,2016,0,T_min,23.0,2016-41
126,2016,1,T_max,30.9,2016-41
127,2016,1,T_mean,26.700000000000003,2016-42
128,2016,1,T_min,20.6,2016-42
129,2016,2,T_max,31.9,2016-42
130,2016,2,T_mean,26.9,2016-45
131,2016,2,T_min,22.3,2016-45
132,2016,3,T_max,30.6,2016-46
133,2016,3,T_mean,27.1,2016-46
134,2016,3,T_min,23.3,2016-46
135,2016,5,T_max,30.15,2016-47
136,2016,5,T_mean,24.9,2016-47
137,2016,5,T_min,22.1,2016-47
138,2016,6,T_max,30.5,2016-47
139,2016,6,T_mean,25.7,2016-47
140,2016,6,T_min,20.225,2016-47
141,2016,7,T_max,32.3,2016-48
142,2016,7,T_mean,27.7,2016-48
143,2016,7,T_min,21.1,2016-48
144,2016,8,T_max,31.28333333333333,2016-49
145,2016,8,T_mean,26.8,2016-49
146,2016,8,T_min,22.05,2016-50
147,2016,9,T_max,31.15,2016-50
148,2016,9,T_mean,27.3,2016-50
149,2016,9,T_min,23.799999999999997,2016-50
150,2016,11,T_max,33.0,2016-51
151,2016,11,T_mean,28.9,2016-51
152,2016,11,T_min,23.7,2016-52
153,2016,13,T_max,33.55,2016-00
154,2016,13,T_mean,28.366666666666664,2016-01
155,2016,13,T_min,23.59166666666667,2016-01
156,2016,14,T_max,34.199999999999996,2016-02
157,2016,14,T_mean,29.46666666666667,2016-03
158,2016,14,T_min,24.349999999999998,2016-05
159,2016,15,T_max,36.175,2016-05
160,2016,15,T_mean,30.775,2016-06
161,2016,15,T_min,26.275,2016-06
162,2016,16,T_max,35.7,2016-07
163,2016,16,T_mean,30.4,2016-08
164,2016,16,T_min,25.76,2016-08
165,2016,17,T_max,35.575,2016-08
166,2016,17,T_mean,30.475,2016-09
167,2016,17,T_min,25.549999999999997,2016-09
168,2016,18,T_max,36.3,2016-09
169,2016,18,T_mean,31.15,2016-09
170,2016,18,T_min,26.0,2016-11
171,2016,19,T_max,33.75,2016-13
172,2016,19,T_mean,30.25,2016-13
173,2016,19,T_min,26.25,2016-13
174,2016,20,T_max,33.739999999999995,2016-13
175,2016,20,T_mean,29.22,2016-13
176,2016,20,T_min,25.199999999999996,2016-13
177,2016,21,T_max,33.97142857142857,2016-14
178,2016,21,T_mean,29.400000000000002,2016-14
179,2016,21,T_min,25.47857142857143,2016-14
180,2016,22,T_max,33.583333333333336,2016-15
181,2016,22,T_mean,28.96666666666667,2016-15
182,2016,22,T_min,25.325,2016-15
183,2016,23,T_max,33.18333333333334,2016-15
184,2016,23,T_mean,28.716666666666665,2016-16
185,2016,23,T_min,25.599999999999998,2016-17
186,2016,24,T_max,34.18571428571429,2016-17
187,2016,24,T_mean,29.64285714285714,2016-17
188,2016,24,T_min,25.27857142857143,2016-17
189,2016,25,T_max,33.71428571428571,2016-18
190,2016,25,T_mean,28.657142857142855,2016-18
191,2016,25,T_min,25.707142857142856,2016-19
192,2016,26,T_max,33.26666666666667,2016-19
193,2016,26,T_mean,28.366666666666664,2016-20
194,2016,26,T_min,24.916666666666668,2016-20
195,2016,27,T_max,29.975,2016-20
196,2016,27,T_mean,26.425,2016-20
197,2016,27,T_min,24.025,2016-20
198,2016,28,T_max,33.15,2016-21
199,2016,28,T_mean,28.400000000000002,2016-21
200,2016,28,T_min,24.657142857142862,2016-21
201,2016,29,T_max,33.583333333333336,2016-21
202,2016,29,T_mean,28.283333333333335,2016-21
203,2016,29,T_min,24.349999999999998,2016-21
204,2016,30,T_max,34.5,2016-21
205,2016,30,T_mean,29.25,2016-22
206,2016,30,T_min,25.15,2016-22
207,2016,31,T_max,32.5,2016-22
208,2016,31,T_mean,28.333333333333332,2016-22
209,2016,31,T_min,24.775000000000002,2016-22
210,2016,32,T_max,27.964285714285715,2016-22
211,2016,32,T_mean,26.4,2016-23
