,year,month,variable,value,year_week
118,2018,4,T_mean,28.39090909090909,2015-10
119,2018,4,T_min,23.513636363636362,2015-10
120,2018,5,T_max,34.379999999999995,2015-10
121,2018,5,T_mean,29.64666666666667,2015-10
122,2018,5,T_min,24.86444444444444,2015-10
123,2018,6,T_max,30.942857142857147,2016-10
124,2018,6,T_mean,27.880952380952376,2016-10
125,2018,6,T_min,24.845238095238095,2016-10
126,2018,7,T_max,30.322580645161292,2016-10
127,2018,7,T_mean,27.432258064516127,2016-10
128,2018,7,T_min,24.793548387096777,2016-10
129,2018,8,T_max,30.262962962962963,2016-10
130,2018,8,T_mean,27.67777777777778,2016-11
131,2018,8,T_min,25.36111111111111,2016-11
132,2018,9,T_max,31.194736842105264,2016-11
133,2018,9,T_mean,27.536842105263155,2016-11
134,2018,9,T_min,24.156578947368423,2016-11
135,2018,10,T_max,32.154545454545456,2016-11
136,2018,10,T_mean,27.709090909090904,2016-11
137,2018,10,T_min,23.718181818181815,2016-11
138,2018,11,T_max,32.190909090909095,2016-11
139,2018,11,T_mean,27.736363636363638,2016-11
140,2018,11,T_min,23.80454545454546,2016-11
141,2018,12,T_max,30.704000000000004,2016-11
142,2018,12,T_mean,26.284000000000002,2016-12
143,2018,12,T_min,22.738999999999997,2016-12
144,2019,1,T_max,29.95,2016-12
145,2019,1,T_mean,26.083333333333332,2016-12
146,2019,1,T_min,22.29166666666666,2016-12
147,2019,2,T_max,31.166666666666668,2016-12
148,2019,2,T_mean,26.099999999999998,2016-12
149,2019,2,T_min,19.933333333333334,2016-12
150,2019,3,T_max,32.2,2016-12
151,2019,3,T_mean,26.4,2016-12
152,2019,3,T_min,20.55,2016-12
153,2019,4,T_max,35.9,2016-1
154,2019,4,T_mean,31.1,2016-1
155,2019,4,T_min,26.0,2016-1
156,2019,5,T_max,33.60952380952381,2016-1
157,2019,5,T_mean,29.095238095238102,2016-1
158,2019,5,T_min,25.173809523809524,2016-2
159,2019,6,T_max,33.75454545454546,2016-2
160,2019,6,T_mean,29.627272727272725,2016-2
161,2019,6,T_min,26.125757575757575,2016-2
162,2019,7,T_max,31.91481481481481,2016-2
163,2019,7,T_mean,28.062962962962963,2016-2
164,2019,7,T_min,25.094444444444452,2016-2
165,2019,8,T_max,30.563333333333333,2016-2
166,2019,8,T_mean,27.61333333333334,2016-3
167,2019,8,T_min,25.56833333333333,2016-3
168,2019,9,T_max,30.81206896551724,2016-3
169,2019,9,T_mean,27.617241379310343,2016-3
170,2019,9,T_min,24.67672413793104,2016-3
171,2019,10,T_max,32.18260869565218,2016-3
172,2019,10,T_mean,27.9,2016-3
173,2019,10,T_min,24.016304347826086,2016-3
174,2019,11,T_max,31.378947368421056,2016-4
175,2019,11,T_mean,27.389473684210525,2016-4
176,2019,11,T_min,24.057894736842105,2016-4
177,2019,12,T_max,31.97142857142857,2016-4
178,2019,12,T_mean,26.928571428571427,2016-4
179,2019,12,T_min,23.128571428571433,2016-4
180,2020,1,T_max,30.880000000000003,2016-4
181,2020,1,T_mean,26.7,2016-4
182,2020,1,T_min,22.494999999999997,2016-4
183,2020,2,T_max,30.016666666666666,2016-4
184,2020,2,T_mean,25.633333333333336,2016-4
185,2020,2,T_min,20.086111111111112,2016-4
186,2020,3,T_max,33.2,2016-4
187,2020,3,T_mean,28.639999999999997,2016-4
188,2020,3,T_min,23.566666666666666,2016-5
189,2020,4,T_max,33.73846153846153,2016-5
190,2020,4,T_mean,29.346153846153847,2016-5
191,2020,4,T_min,24.72307692307692,2016-5
192,2020,5,T_max,34.25833333333334,2016-5
193,2020,5,T_mean,29.758333333333336,2016-5
194,2020,5,T_min,25.683333333333334,2016-5
195,2020,6,T_max,32.41111111111111,2016-5
196,2020,6,T_mean,28.422222222222224,2016-5
197,2020,6,T_min,25.262962962962963,2016-5
198,2020,7,T_max,32.85862068965517,2016-5
199,2020,7,T_mean,28.49655172413793,2016-5
200,2020,7,T_min,24.810919540229886,2016-5
201,2020,8,T_max,31.64791666666667,2016-5
202,2020,8,T_mean,27.683333333333334,2016-5
203,2020,8,T_min,24.568055555555556,2016-5
204,2020,9,T_max,32.66206896551725,2016-5
205,2020,9,T_mean,28.33103448275862,2016-5
206,2020,9,T_min,24.705172413793104,2016-5
207,2020,10,T_max,30.95967741935484,2016-6
208,2020,10,T_mean,27.34193548387097,2016-6
209,2020,10,T_min,24.69193548387097,2016-6
210,2020,11,T_max,31.06153846153846,2016-6
211,2020,11,T_mean,26.97692307692308,2016-6
212,2020,11,T_min,23.721153846153847,2016-6
213,2020,12,T_max,30.216666666666665,2016-6
214,2020,12,T_mean,26.855555555555554,2016-6
215,2020,12,T_min,23.94166666666667,2016-6
216,2021,1,T_max,29.574193548387107,2016-6
217,2021,1,T_mean,25.85000000000001,2016-6
218,2021,1,T_min,22.922580645161286,2016-6
219,2021,2,T_max,30.067857142857143,2016-6
220,2021,2,T_mean,25.910714285714285,2016-6
221,2021,2,T_min,22.628571428571416,2016-6
222,2021,3,T_max,32.05483870967742,2016-6
223,2021,3,T_mean,27.558064516129033,2016-6
224,2021,3,T_min,23.73870967741936,2016-6
225,2021,4,T_max,32.720000000000006,2016-6
226,2021,4,T_mean,28.271666666666665,2016-6
227,2021,4,T_min,24.40666666666667,2016-6
228,2021,5,T_max,35.093548387096774,2016-6
229,2021,5,T_mean,29.809677419354834,2016-6
230,2021,5,T_min,25.82903225806451,2016-6
231,2021,6,T_max,32.336666666666666,2016-6
232,2021,6,T_mean,28.490000000000002,2016-6
233,2021,6,T_min,25.870000000000005,2016-6
234,2021,7,T_max,30.648387096774186,2016-6
235,2021,7,T_mean,27.617741935483874,2016-7
236,2021,7,T_min,25.4,2016-7
237,2021,8,T_max,31.60322580645161,2016-7
238,2021,8,T_mean,27.6258064516129,2016-7
239,2021,8,T_min,25.106451612903225,2016-7
240,2021,9,T_max,31.37666666666666,2016-7
241,2021,9,T_mean,27.451666666666668,2016-7
242,2021,9,T_min,24.873333333333342,2016-7
243,2021,10,T_max,31.429032258064513,2016-7
244,2021,10,T_mean,27.4516129032258,2016-7
245,2021,10,T_min,24.574193548387093,2016-7
246,2021,11,T_max,32.27407407407407,2016-7
247,2021,11,T_mean,27.977777777777767,2016-7
248,2021,11,T_min,24.58148148148148,2016-7
