,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2002-08-01,23.27973929760023,22.752833897502672,24.887875741968195,23.27973929760023,23.27973929760023,0.6067817823100807,0.6067817823100807,0.6067817823100807,0.6067817823100807,0.6067817823100807,0.6067817823100807,0.0,0.0,0.0,23.88652107991031
1,2002-09-01,23.285154404065395,22.815845946700353,24.86195042279573,23.285154404065395,23.285154404065395,0.6580094922689255,0.6580094922689255,0.6580094922689255,0.6580094922689255,0.6580094922689255,0.6580094922689255,0.0,0.0,0.0,23.94316389633432
2,2002-12-01,23.301050361753457,21.37538054308534,23.551023778351567,23.301050361753457,23.301050361753457,-0.8473147193759197,-0.8473147193759197,-0.8473147193759197,-0.8473147193759197,-0.8473147193759197,-0.8473147193759197,0.0,0.0,0.0,22.453735642377538
3,2003-01-01,23.306465468218622,20.629521796066108,22.644103376844686,23.306465468218622,23.306465468218622,-1.6712903486663497,-1.6712903486663497,-1.6712903486663497,-1.6712903486663497,-1.6712903486663497,-1.6712903486663497,0.0,0.0,0.0,21.635175119552272
4,2003-02-01,23.311880574683787,20.588798821631908,22.687961015502786,23.311880574683787,23.311880574683787,-1.6774368360197696,-1.6774368360197696,-1.6774368360197696,-1.6774368360197696,-1.6774368360197696,-1.6774368360197696,0.0,0.0,0.0,21.634443738664018
5,2003-04-01,23.32218674505297,22.93926008784044,25.04191997526401,23.32218674505297,23.32218674505297,0.5957193166601958,0.5957193166601958,0.5957193166601958,0.5957193166601958,0.5957193166601958,0.5957193166601958,0.0,0.0,0.0,23.91790606171317
6,2003-05-01,23.32742717066442,23.46586392473956,25.614330316862084,23.32742717066442,23.32742717066442,1.2082028607812614,1.2082028607812614,1.2082028607812614,1.2082028607812614,1.2082028607812614,1.2082028607812614,0.0,0.0,0.0,24.535630031445685
7,2003-06-01,23.332842285196154,23.37493647605709,25.470845966710588,23.332842285196154,23.332842285196154,1.1249901470432437,1.1249901470432437,1.1249901470432437,1.1249901470432437,1.1249901470432437,1.1249901470432437,0.0,0.0,0.0,24.4578324322394
8,2003-07-01,23.33808271861396,23.094369305713105,25.10738373793367,23.33808271861396,23.33808271861396,0.7591208434831193,0.7591208434831193,0.7591208434831193,0.7591208434831193,0.7591208434831193,0.7591208434831193,0.0,0.0,0.0,24.097203562097082
9,2003-08-01,23.343497833145694,22.901765851370246,25.07373908550992,23.343497833145694,23.343497833145694,0.6066610010974887,0.6066610010974887,0.6066610010974887,0.6066610010974887,0.6066610010974887,0.6066610010974887,0.0,0.0,0.0,23.950158834243183
10,2003-09-01,23.348912947677427,22.979668318766183,25.041351838841123,23.348912947677427,23.348912947677427,0.6696890410883976,0.6696890410883976,0.6696890410883976,0.6696890410883976,0.6696890410883976,0.6696890410883976,0.0,0.0,0.0,24.018601988765823
11,2003-10-01,23.354153381095234,22.607237920657614,24.593066990029147,23.354153381095234,23.354153381095234,0.2279375256404866,0.2279375256404866,0.2279375256404866,0.2279375256404866,0.2279375256404866,0.2279375256404866,0.0,0.0,0.0,23.582090906735722
12,2003-11-01,23.359568495626966,22.03311694809208,24.155438621027006,23.359568495626966,23.359568495626966,-0.2446844545459088,-0.2446844545459088,-0.2446844545459088,-0.2446844545459088,-0.2446844545459088,-0.2446844545459088,0.0,0.0,0.0,23.11488404108106
13,2003-12-01,23.364808938316873,21.42822278521766,23.531544228138387,23.364808938316873,23.364808938316873,-0.8510884980199611,-0.8510884980199611,-0.8510884980199611,-0.8510884980199611,-0.8510884980199611,-0.8510884980199611,0.0,0.0,0.0,22.51372044029691
14,2004-01-01,23.370224062429774,20.6713197312042,22.75972316909171,23.370224062429774,23.370224062429774,-1.6752852640659635,-1.6752852640659635,-1.6752852640659635,-1.6752852640659635,-1.6752852640659635,-1.6752852640659635,0.0,0.0,0.0,21.69493879836381
15,2004-02-01,23.375639186542674,20.692370849625114,22.73232449378595,23.375639186542674,23.375639186542674,-1.6831293782124266,-1.6831293782124266,-1.6831293782124266,-1.6831293782124266,-1.6831293782124266,-1.6831293782124266,0.0,0.0,0.0,21.692509808330247
16,2004-03-01,23.380704947809583,21.57048750612827,23.58323485731839,23.380704947809583,23.380704947809583,-0.7768436542773924,-0.7768436542773924,-0.7768436542773924,-0.7768436542773924,-0.7768436542773924,-0.7768436542773924,0.0,0.0,0.0,22.60386129353219
17,2004-04-01,23.386120071922484,22.916600898237764,25.03996482705513,23.386120071922484,23.386120071922484,0.5628406487845117,0.5628406487845117,0.5628406487845117,0.5628406487845117,0.5628406487845117,0.5628406487845117,0.0,0.0,0.0,23.948960720706996
18,2004-05-01,23.391360514612387,23.601030500767973,25.644962106430985,23.391360514612387,23.391360514612387,1.2206991104486313,1.2206991104486313,1.2206991104486313,1.2206991104486313,1.2206991104486313,1.2206991104486313,0.0,0.0,0.0,24.61205962506102
19,2004-06-01,23.39677562726377,23.553495529453734,25.58297844580638,23.39677562726377,23.39677562726377,1.1562190459894726,1.1562190459894726,1.1562190459894726,1.1562190459894726,1.1562190459894726,1.1562190459894726,0.0,0.0,0.0,24.552994673253245
20,2004-07-01,23.402016058861886,23.079665159842275,25.133222808868215,23.402016058861886,23.402016058861886,0.7710012925809359,0.7710012925809359,0.7710012925809359,0.7710012925809359,0.7710012925809359,0.7710012925809359,0.0,0.0,0.0,24.173017351442823
